name,kind,n_members,f1,accuracy,auc,sensitivity,specificity,india_f1,india_accuracy,india_auc,india_sensitivity,india_specificity,italy_f1,italy_accuracy,italy_auc,italy_sensitivity,italy_specificity
coatnet_3_fold1,baseline,1,0.7096774193548387,0.7272727272727273,0.8421052631578947,0.7857142857142857,0.6842105263157895,0.7272727272727273,0.6,0.5454545454545454,0.7272727272727273,0.25,0.6666666666666666,0.8333333333333334,0.9777777777777777,1.0,0.8
coatnet_3_fold2,baseline,1,0.7647058823529411,0.7575757575757576,0.8421052631578947,0.9285714285714286,0.631578947368421,0.8,0.6666666666666666,0.45454545454545453,0.9090909090909091,0.0,0.6666666666666666,0.8333333333333334,0.9555555555555556,1.0,0.8
coatnet_3_fold3,baseline,1,0.7741935483870968,0.7878787878787878,0.8947368421052632,0.8571428571428571,0.7368421052631579,0.75,0.6,0.5681818181818182,0.8181818181818182,0.0,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333333
convnext_base_fold1,baseline,1,0.7692307692307693,0.8181818181818182,0.906015037593985,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.7954545454545454,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
convnext_base_fold2,baseline,1,0.7407407407407407,0.7878787878787878,0.9210526315789475,0.7142857142857143,0.8421052631578947,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
convnext_base_fold3,baseline,1,0.8148148148148148,0.8484848484848485,0.9172932330827068,0.7857142857142857,0.8947368421052632,0.8421052631578947,0.8,0.7954545454545454,0.7272727272727273,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
convnext_large_fold1,baseline,1,0.7857142857142857,0.8181818181818182,0.8383458646616542,0.7857142857142857,0.8421052631578947,0.8421052631578947,0.8,0.8409090909090909,0.7272727272727273,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
convnext_large_fold2,baseline,1,0.7692307692307693,0.8181818181818182,0.9022556390977444,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
convnext_large_fold3,baseline,1,0.7333333333333333,0.7575757575757576,0.9323308270676691,0.7857142857142857,0.7368421052631579,0.7619047619047619,0.6666666666666666,0.8181818181818181,0.7272727272727273,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
efficientnet_b3_fold2,baseline,1,0.6206896551724138,0.6666666666666666,0.7105263157894738,0.6428571428571429,0.6842105263157895,0.631578947368421,0.5333333333333333,0.5,0.5454545454545454,0.5,0.6,0.7777777777777778,0.9111111111111111,1.0,0.7333333333333333
maxvit_t_fold1,baseline,1,0.7857142857142857,0.8181818181818182,0.9398496240601504,0.7857142857142857,0.8421052631578947,0.8,0.7333333333333333,0.8409090909090908,0.7272727272727273,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
maxvit_t_fold2,baseline,1,0.896551724137931,0.9090909090909091,0.9624060150375939,0.9285714285714286,0.8947368421052632,0.9090909090909091,0.8666666666666667,0.8409090909090908,0.9090909090909091,0.75,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333333
maxvit_t_fold3,baseline,1,0.8,0.8181818181818182,0.9210526315789475,0.8571428571428571,0.7894736842105263,0.8571428571428571,0.8,0.8636363636363636,0.8181818181818182,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
