fold,n_train,n_val,n_epochs_run,best_val_f1,checkpoint_path,test_f1,test_accuracy,test_auc,test_india_f1,test_india_accuracy,test_india_auc,test_italy_f1,test_italy_accuracy,test_italy_auc
1,186,62,23,0.7272727272727273,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/coatnet_3_palpebral_new_way_kfold3_fold1_best.pth,0.7096774193548387,0.7272727272727273,0.8383458646616542,0.7272727272727273,0.6,0.5227272727272727,0.6666666666666666,0.8333333333333334,0.9777777777777777
2,190,61,46,0.8620689655172413,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/coatnet_3_palpebral_new_way_kfold3_fold2_best.pth,0.7647058823529411,0.7575757575757576,0.8421052631578947,0.8,0.6666666666666666,0.4318181818181818,0.6666666666666666,0.8333333333333334,0.9333333333333333
3,188,61,47,0.75,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/coatnet_3_palpebral_new_way_kfold3_fold3_best.pth,0.7741935483870968,0.7878787878787878,0.8947368421052632,0.75,0.6,0.5681818181818181,0.8571428571428571,0.9444444444444444,1.0
