fold,n_train,n_val,n_epochs_run,best_val_f1,checkpoint_path,test_f1,test_accuracy,test_auc,test_india_f1,test_india_accuracy,test_india_auc,test_italy_f1,test_italy_accuracy,test_italy_auc
1,186,62,240,0.7391304347826086,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/convnext_base_palpebral_new_way_kfold3_fold1_best.pth,0.7692307692307693,0.8181818181818182,0.906015037593985,0.7777777777777778,0.7333333333333333,0.7954545454545454,0.75,0.8888888888888888,1.0
2,190,61,250,0.7659574468085106,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/convnext_base_palpebral_new_way_kfold3_fold2_best.pth,0.7407407407407407,0.7878787878787878,0.9210526315789475,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6666666666666666,0.8333333333333334,1.0
3,188,61,130,0.6938775510204082,/kaggle/working/eyes-defy-anemia/classification/new_way/Output/version2/checkpoints/convnext_base_palpebral_new_way_kfold3_fold3_best.pth,0.8148148148148148,0.8484848484848485,0.9172932330827068,0.8421052631578947,0.8,0.7954545454545454,0.75,0.8888888888888888,1.0
