combo,arch,tissue,india_auc,india_ci_low,india_ci_high,india_ci_half_width,india_sd_across_repeats,italy_auc,italy_ci_low,italy_ci_high,overall_auc,overall_ci_low,overall_ci_high,gap,gap_ci_low,gap_ci_high,gap_ci_excludes_zero,india_pairs,italy_pairs,n_repeats,n_splits,seed,learning_rate,weight_decay,dropout_rate,runtime_seconds
convnext_tiny_palpebral_v2_clean,convnext_tiny,palpebral,0.7218916857360793,0.5850495804729214,0.8398169336384439,0.12738367658276123,0.021252601617262595,0.8424999999999999,0.7202380952380952,0.9369047619047618,0.8581381235586842,0.8007009345794394,0.9070305862361937,-0.12060831426392069,-0.29365172441974496,0.059144157949220844,False,1311,1680,5,5,42,0.0005854944023048902,2.0094111846413368e-05,0.2,1876.8
convnext_tiny_forniceal_palpebral_v2_clean,convnext_tiny,forniceal_palpebral,0.6958047292143402,0.5621472158657513,0.8215102974828374,0.12968154080854305,0.029321787699435754,0.8668887408394405,0.7548134576948701,0.9573617588274485,0.8291279669762641,0.7582365841073272,0.8919020897832817,-0.17108401162510015,-0.3458819724048702,0.0051851905492956195,False,1311,1501,5,5,42,0.07734445970634252,0.00047982072674057337,0.5,398.3
efficientnet_b0_forniceal_palpebral_v2_clean,efficientnet_b0,forniceal_palpebral,0.6352402745995424,0.4645308924485126,0.7925438596491227,0.16400648360030504,0.04226841889695189,0.8662225183211193,0.7468187874750166,0.9633577614923384,0.8682920536635705,0.8147574819401445,0.9158958978328172,-0.23098224372157689,-0.40768473191785193,-0.05392347130898248,True,1311,1501,5,5,42,0.0013292918943162175,0.0007114476009343421,0.2,454.7
resnet18_forniceal_palpebral_v2_clean,resnet18,forniceal_palpebral,0.6247139588100686,0.4812929061784897,0.7581998474446987,0.1384534706331045,0.029640517509878696,0.8960692871419053,0.7774483677548302,0.9713524317121919,0.8036893704850361,0.713877063983488,0.8739680082559339,-0.27135532833183673,-0.4411962073593448,-0.09170577103187252,True,1311,1501,5,5,42,0.00029380279387035364,2.9375384576328313e-06,0.5,1231.7
resnet18_palpebral_v2_clean,resnet18,palpebral,0.5932875667429444,0.44849351639969487,0.7292143401983219,0.1403604118993135,0.037225525447536,0.85,0.7291517857142856,0.9452380952380952,0.8283772302463891,0.7694896225270057,0.8816755674232309,-0.25671243325705567,-0.4292833306091316,-0.07918740465293705,True,1311,1680,5,5,42,0.0021454841512197117,1.1211234935464234e-06,0.2,398.1
regnet_y_400mf_palpebral_v2_clean,regnet_y_400mf,palpebral,0.5823035850495805,0.43096872616323423,0.7315217391304346,0.1502765064836002,0.025232803632062976,0.9013095238095238,0.7880952380952382,0.9755952380952381,0.8664643767447504,0.8176872193227334,0.9073947080956427,-0.3190059387599433,-0.49076114198539816,-0.12749666285278424,True,1311,1680,5,5,42,0.0011249436130085291,0.00011856737112037188,0.2,675.0
densenet121_palpebral_v2_clean,densenet121,palpebral,0.5819984744469872,0.4263729977116704,0.7254195270785658,0.1495232646834477,0.0350918645778747,0.8080952380952381,0.6666517857142857,0.9279910714285714,0.8054132783104745,0.7045757980337419,0.8791115426629446,-0.22609676364825101,-0.4221521534815299,-0.024092125694671646,True,1311,1680,5,5,42,0.00029380279387035364,2.9375384576328313e-06,0.5,2343.8
mobilenet_v3_small_forniceal_palpebral_v2_clean,mobilenet_v3_small,forniceal_palpebral,0.5807780320366133,0.43093058733791,0.7255339435545379,0.14730167810831396,0.0266731939779551,0.7316455696202532,0.5856095936042638,0.8567621585609593,0.7382868937048503,0.6591782765737874,0.8112938596491227,-0.1508675375836399,-0.34027122015274835,0.07040209908370261,False,1311,1501,5,5,42,0.008044777829695324,0.0001488394312303403,0.5,151.5
densenet121_forniceal_palpebral_v2_clean,densenet121,forniceal_palpebral,0.560793287566743,0.4149504195270786,0.6949084668192219,0.13997902364607165,0.025173936051800697,0.8615589606928715,0.7321785476349101,0.9626915389740173,0.8078689370485037,0.7390189628482973,0.8646833075335397,-0.3007656731261285,-0.49849955102395493,-0.10965250219660362,True,1311,1501,5,5,42,0.018362839120451776,0.0001537467136904321,0.5,439.0
mobilenet_v3_small_palpebral_v2_clean,mobilenet_v3_small,palpebral,0.5179252479023646,0.33636536994660565,0.6643974065598778,0.16401601830663606,0.05097207989512369,0.5685714285714286,0.40950892857142857,0.7297619047619047,0.5818667313994417,0.4830652991867946,0.682367398956184,-0.05064618066906403,-0.2904302536231885,0.18337205105154192,False,1311,1680,5,5,42,0.08088564223049027,1.0422971466648463e-06,0.5,97.0
regnet_y_400mf_forniceal_palpebral_v2_clean,regnet_y_400mf,forniceal_palpebral,0.4903127383676583,0.3302822273073989,0.6438024408848206,0.15676010678871086,0.043909035969457694,0.9215189873417721,0.8447701532311792,0.9726848767488341,0.8448400412796697,0.803015350877193,0.8822368421052632,-0.43120624897411386,-0.6086343403914298,-0.24887080110843984,True,1311,1501,5,5,42,0.0013292918943162175,0.0007114476009343421,0.2,693.3
efficientnet_b0_palpebral_v2_clean,efficientnet_b0,palpebral,0.48634630053394357,0.33558352402746,0.6254767353165522,0.14494660564454612,0.02679289803236848,0.6063095238095239,0.436889880952381,0.7511904761904762,0.600339847068819,0.49981187037261804,0.6984160699113968,-0.11996322327558029,-0.31676514656205734,0.08735061158330591,False,1311,1680,5,5,42,0.03142880890840111,4.335281794951567e-06,0.5,140.2
